customer_name,rating,review_text
Prashant,5,"Over all good phone 📱🔥, go through itREAD MORE"
Kishan Singh,5,If you using 5000 mah battery smartphone before so some time you feel battery is small but with 66 wat fast charging its absolute fine other wise it is Totally Beast.Mic Drop.READ MORE
Flipkart Customer,4,All good at the price ..but need one ultra wide cameraREAD MORE
SRINIVASA S,5,The design and display of the phone is very good.camer is super for day and night photos.READ MORE
Suman Paul,5,Phone quality awesome.. design..camera.. best 😘😘👌👌👌👌READ MORE
Samata Maity,5,Nice camera 🤳....READ MORE
Juel Ansari,5,Best phone I'm so happyREAD MORE
Shiv Balak,5,Nice phone display looking premium design is awesome The price is also good . Overall best phone. Thanks to flipkart and vivo.READ MORE
Suresh G,5,"Very nice Mobile design performance superb😀,Camera quality and clarity super👌Aura light effect awesome🤷Looking premium mobile...😊I'm happy 😁READ MORE"
Sankar Panda,4,Nice phoneREAD MORE
